Review;Sentiment
belalang nya hancur jadi bubuk gak berbentuk lagi;negative
Terbaikkkk;positive
lancar rezekinya min 🙏;positive
Mantap!;positive
mantabs... gurih....;positive
sedikit saran kalo bisa jgn cuma bable doang bungkusnya kasih kardus biar lebih aman, terimakasih mantaapppp 👍👍👍;neutral
belalang tempur;positive
Pengiriman cepat packing aman rasa nanti dicoba waktu buka puasa... terimakasih 🙏;positive
Haha bgini ternyata rasanya belalang goreng ya, gila gila gila, nice banget bro 😂😂👍🏻👍🏻;positive
"BELALANG NYA TERLALU KECIL KECEWA.
 TKS .sdh di terima";negative
ga suka bau nya, stelh d makan... perut terasa sakit,  muncul bentol2 gede dari ujung kaki sampe kpala..dan terasa panas.. entah keracunan, ato alergi...;negative
enak. belalangnya kecil2. packing aman.;positive
Mantappppp;positive
"enak rasa nya.. 
pewarna nya pekat banget bahaya gak ini?? mohon di jawab";positive
Enak bgt pedes gurih…mantap langsung pesen lgi;positive
Terimakasih ya goreng belalangnya enak maaf ga bisa kirim foto sudah habis goreng belalangnya, pengen beli lagi, enak gurih renyak;positive
Bagus. ini pembelian kedua maturnuwun;positive
Alhamdulillah rasanya mantap jadi nostalgia jaman dulu masih SMP pernah cari belalang pas liburan 😀😀😀😀;positive
keren, mukanya HD;positive
"enak
gurih
pedas";positive
enakkkkk;positive
enak, tapi asin banget;positive
gurih..tpi syg..kyk ny kekeringan....klo setengah kering lebih enak kykny..🙂;positive
Rasanya enak. Blom bisa kaish gambar. Barangnya udah habis.;positive
serbuk, udah od ancur belalangnya;negative
mantab asin pedesnya;positive
Enaak..Sy suka;positive
respon cepat, pengiriman sesuai paket, yang pedas gurih rasanya pedas banget, agak banyak remahan, mungkin akibat digoyang buat nyampur bubuk cabenya, yang asin gurih leb... ;positive
baru pertama kali,rasanya enak. bisa² order lagi. renyah,bumbunya pas,ukurannya kecil tp gak apa-apa yang penting renyah+gak berasa pait (gak gosong). pengiriman standarl... ;positive
Enak, jadi pingin beli lagi.;positive
garing dan renyah sesuai orderan dan pengiriman cepat , sy suka , terima kasih;positive
mantap, gurih, langsung habiss...;positive
mantap....;positive
rasanya..enak dan gurih. anak suka sekali. good job;positive
Sip...;positive
rasa kurng;negative
Salah satu bentuk kearifan budaya tradisional yg memiliki visi utk mendayagunakan sesuatu yg sesungguhnya bersifat parasit/hama menjadi sesuatu yg bermanfaat, bahkan bern... ;positive
enak rasanya;positive
blm dicobain,belum dibuka pula soalnya lagi ke Bogor, semoga tidak mengecewakan;neutral
Paket sdh sampe, sy coba cicip koq rasanya pedas asin ya gan bukan pedas manis. Tapi enak juga koq spt udang rasanya. Tks gan;positive
kurang...kecil kli... kurang puas;negative
cukup enak tp lebih mantap kalau yg ukuran besar.;positive
jozzzz;positive
enak pake banget...pertama kali saya makan dan suka;positive
yang punya alergi hati2, karna gw alergi abis makan seluruh badan gatal2 😅😅😅;neutral
"enakk,
rasa pedas manis
tapi pedesnya lumayan, mungkin kedepannya bisa dikasih level tingkat kepedasan";positive
enak,pedas,gurih.cobain deh...;positive
Barang sampai tujuan dengan selamat. Packaging juga baik. Produknya juga enak dan lumayan renyah meskipun ukurannya agak kecil mungil begitu. Rasanya juga sangat enak. Co... ;positive
yg pesenan kedua kmrn bukan pedes gurih kak tp pedes manis jd rasanya agak eneg, lain kali sesuai request y;negative
rasa nya enak, gurih, pengiriman cpt;positive
sdh di terima , ukuran berat pas, packing aman. trims;positive
oke;positive
ENAK BANGET TAPI MALAH JADI GATEL EUY;neutral
Alhamdulillaaah uda nyampe.. Thanks;positive
Perdana makan belalang goreng setelah 21 tahun gw lahir ternyata seenak ini rasa belalang goreng yak🤤 Insya Allah next order😁;positive
oke recommended;positive
thanks gan barang sudah diterima;positive
pengiriman cepat, rasa... kurang suka . karena pengin coba saja rasa belalang goreng. terlalu asin buat saya. tapi renyah sekali. guriih jika yg suka;negative
joossss;positive
tak kira in walang nya besar, ngga tau ne kecil2 .lumayan cocok rasanya...;positive
makanannya sudah di terima ,Enak gurih bagus;positive
barang sesuai pesanan packing bagus;positive
gram cocok,cm blm dicicipin;positive
mantab;positive
sesuai deskripsi, proses cepat dan rasanya enak;positive
kalau d makan agak banyak rasanya getir di lidah, kyak minyak jelantah buat gorengnya, item belalangnya;negative
